multiple_trans,filing_date,trade_date,Ticker,company_name,insider_name,title,trade_type,Price,Qty,Owned,D_Own,Value,delta_own,trade_value,price_new,delta_own_type,trade_value_type,price_new_type
,10/19/2022 14:56,10/18/2022,LLY,Eli Lilly & Co,Lilly Endowment Inc,10%,S - Sale,$334.03 ,-12042,103529293,0%,"($4,022,377)",0,4022377,334.03,float,float,float
,10/19/2022 16:16,10/18/2022,HUBS,Hubspot Inc,Halligan Brian,Exec Chair,S - Sale,$284.70 ,-8500,648280,-1%,"($2,419,950)",0.01,2419950,284.7,float,float,float
,10/19/2022 17:16,10/18/2022,TEAM,Atlassian Corp,Cannon-Brookes Michael,"Co-CEO, Co-Founder, 10%",S - Sale,$204.71 ,-8614,439314,-2%,"($1,763,333)",0.02,1763333,204.71,float,float,float
,10/19/2022 17:15,10/18/2022,TEAM,Atlassian Corp,Farquhar Scott,"Co-CEO, Co-Founder, 10%",S - Sale,$204.71 ,-8614,439314,-2%,"($1,763,331)",0.02,1763331,204.71,float,float,float
,10/18/2022 19:32,10/18/2022,JBL,Jabil Inc,Borges Steven D,"EVP, CEO, Regulated Industries",S - Sale,$62.00 ,-19695,187100,-10%,"($1,221,090)",0.1,1221090,62,float,float,float
,10/19/2022 16:47,10/18/2022,BAH,Booz Allen Hamilton Holding Corp,Thompson Elizabeth M,"EVP, Chief People Officer",S - Sale,$100.00 ,-7285,21465,-25%,"($728,500)",0.25,728500,100,float,float,float
,10/19/2022 17:41,10/18/2022,CMC,Commercial Metals Co,Garrison Ty L,SVP Operations,S - Sale,$43.83 ,-14304,134635,-10%,"($626,944)",0.1,626944,43.83,float,float,float
,10/19/2022 16:17,10/18/2022,JPM,Jpmorgan Chase & Co,Petno Douglas B,CEO Commercial Banking,S - Sale,$120.05 ,-5140,408336,-1%,"($617,055)",0.01,617055,120.05,float,float,float
,10/19/2022 16:19,10/18/2022,ZS,"Zscaler, Inc.",Schlossman Robert,GC,S - Sale,$150.83 ,-3825,141345,-3%,"($576,925)",0.03,576925,150.83,float,float,float
,10/19/2022 16:40,10/18/2022,NARI,"Inari Medical, Inc.",Milder Donald B,Dir,S - Sale,$80.07 ,-7000,3442220,0%,"($560,490)",0,560490,80.07,float,float,float
,10/19/2022 16:00,10/18/2022,AEHR,Aehr Test Systems,Spink Kenneth B.,"VP OF FINANCE, CFO",S - Sale,$18.65 ,-30000,127673,-19%,"($559,500)",0.19,559500,18.65,float,float,float
